OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding Status,Geocoding Query
1669,BETTY BEAVERS TRUCKSTOP,"I-90, EXIT 28",Fultonville,NY,12,3.149,42.9478324,-74.3701925,success,"BETTY BEAVERS TRUCKSTOP, Fultonville, NY, USA"
1670,Petro Stopping Center #54,"I-44, EXIT 4 & SR-3",Joplin,MO,277,3.449,37.0841838,-94.5133385,success,"Petro Stopping Center #54, Joplin, MO, USA"
1671,LOVES TRAVEL STOP #412,"I-95, EXIT 77",Dunn,NC,205,3.699,35.340244,-78.557198,success,"LOVES TRAVEL STOP #412, Dunn, NC, USA"
1672,HANA TRAVEL PLAZA,"I-40,  EXIT 77",Amarillo,TX,585,2.899,35.20729,-101.8371192,success,"HANA TRAVEL PLAZA, Amarillo, TX, USA"
1699,ALLENS FOOD MART280,US-280/US-231/SR-53/SR-38 & CR-8/CR-34,Sylacauga,AL,615,3.799,33.170482,-86.2514099,success,"ALLENS FOOD MART280, Sylacauga, AL, USA"
1700,TOPPS FUEL STOPS,US-259/SR-49,Daingerfield,TX,723,3.109,33.0318031,-94.7219895,success,"TOPPS FUEL STOPS, Daingerfield, TX, USA"
1720,TOOT N TOTUM #120,US-54 & S WESTERN AVE,Liberal,KS,585,3.01566666,37.0430812,-100.920999,success,"TOOT N TOTUM #120, Liberal, KS, USA"
1749,HIGHWAY 96 FUEL STOP,US-96 & SR-62/FM-1004,Buna,TX,610,3.149,30.4368977,-93.964566,success,"HIGHWAY 96 FUEL STOP, Buna, TX, USA"
1753,PWI #169,"I-35/US-77, EXIT 359 & CR-1304",Abbott,TX,765,2.899,31.898307,-97.088501,success,"PWI #169, Abbott, TX, USA"
1773,M-46 AUTO TRUCK PLAZA,"US-131, EXIT 120 & SR-46",Howard City,MI,344,3.199,43.395583,-85.467815,success,"M-46 AUTO TRUCK PLAZA, Howard City, MI, USA"
1791,PILOT TRAVEL CENTERS #257,"I-20, EXIT 126 & FM-1788",Midland,TX,710,3.56566666,31.967641,-102.251929,success,"PILOT TRAVEL CENTERS #257, Midland, TX, USA"
1807,LOVES TRAVEL STOP #229,I-40 EXIT 96 & SR-207,Panhandle,TX,585,3.314,35.3454637,-101.3806571,success,"LOVES TRAVEL STOP #229, Panhandle, TX, USA"
1810,KENT KWIK #804,US-83,Perryton,TX,585,2.999,36.3910229,-100.8059035,success,"KENT KWIK #804, Perryton, TX, USA"
1829,PILOT TRAVEL CENTERS #96,"SR- 60 & FL TURNPIKE, EXIT 193",Okeechobee,FL,143,3.719,27.2437062,-80.8299044,success,"PILOT TRAVEL CENTERS #96, Okeechobee, FL, USA"
1832,CORNER FUEL CENTER,US-49,Hattiesburg,MS,620,3.299,31.1878038,-89.2511202,success,"CORNER FUEL CENTER, Hattiesburg, MS, USA"
1834,PUMP N PANTRY #15,"I-20, EXIT 617 & US-59",Marshall,TX,766,2.899,32.4889309,-94.3587124,success,"PUMP N PANTRY #15, Marshall, TX, USA"
1849,Stripes #42457,US-67/US-277,San Angelo,TX,740,3.244,31.3757215,-100.4885518,success,"Stripes #42457, San Angelo, TX, USA"
1855,EXIT 76 AUTO TRUCK PLAZA,US-131,Byron Center,MI,344,3.499,42.8122508,-85.7228062,success,"EXIT 76 AUTO TRUCK PLAZA, Byron Center, MI, USA"
1858,FLYING J TRAVEL PLAZA #737,"I-10, EXIT 583",San Antonio,TX,740,3.224,29.4246002,-98.4951405,success,"FLYING J TRAVEL PLAZA #737, San Antonio, TX, USA"
1859,GO MART FOOD STORE #44,"I-79, EXIT 67 & US-19/SR-4",Sutton,WV,44,3.559,38.6641653,-80.7093066,success,"GO MART FOOD STORE #44, Sutton, WV, USA"
1860,MR FUEL #278,"I-75/71, EXIT 175 & SR-338",Walton,KY,300,3.019,38.8756194,-84.6102213,success,"MR FUEL #278, Walton, KY, USA"
